timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2020-06-21 10:17:46 +0000;51.835440;5.897551;55.923645;10.000000;10.000000;35.927998;11.601562
2020-06-21 10:17:49 +0000;51.835698;5.897771;55.473450;10.000000;10.000000;39.492001;21.445312
2020-06-21 10:17:52 +0000;51.835973;5.898021;54.080322;10.000000;10.000000;40.680001;27.070312
2020-06-21 10:17:54 +0000;51.836183;5.898152;52.889587;10.000000;10.000000;40.392001;18.281250
2020-06-21 10:17:57 +0000;51.836441;5.898280;50.309631;10.000000;10.000000;37.080001;13.359375
2020-06-21 10:18:00 +0000;51.836735;5.898517;44.970337;10.000000;10.000000;42.983998;21.796875
2020-06-21 10:18:03 +0000;51.837044;5.898719;38.458862;10.000000;10.000000;42.660001;22.500000
2020-06-21 10:18:06 +0000;51.837361;5.898906;32.309998;10.000000;10.000000;44.316002;27.070312
2020-06-21 10:18:10 +0000;51.837736;5.899130;27.969604;10.000000;10.000000;32.760001;43.400139
2020-06-21 10:18:24 +0000;51.837639;5.899464;22.940674;10.000000;10.000000;12.024000;140.832703
2020-06-21 10:18:31 +0000;51.837450;5.899705;23.763428;10.000000;10.000000;16.056000;142.271912
2020-06-21 10:18:37 +0000;51.837238;5.899975;23.658569;10.000000;10.000000;17.063999;141.426483
2020-06-21 10:18:42 +0000;51.837036;5.900291;22.965027;10.000000;10.000000;21.888000;130.720947
2020-06-21 10:18:46 +0000;51.836889;5.900577;21.606689;10.000000;10.000000;21.852001;127.903885
2020-06-21 10:18:52 +0000;51.836878;5.900943;21.852295;10.000000;10.000000;16.452001;43.630188
2020-06-21 10:18:57 +0000;51.837102;5.901271;20.772156;10.000000;10.000000;28.547999;43.202728
2020-06-21 10:19:00 +0000;51.837277;5.901538;20.062439;10.000000;10.000000;30.492001;43.331314
2020-06-21 10:19:04 +0000;51.837496;5.901895;18.416721;10.000000;10.000000;31.716002;46.594810
2020-06-21 10:19:07 +0000;51.837662;5.902178;18.117710;5.000000;5.000000;32.148001;46.594810
2020-06-21 10:19:10 +0000;51.837842;5.902484;17.064121;5.000000;5.000000;20.808001;46.594810
2020-06-21 10:19:24 +0000;51.837751;5.902859;13.872776;5.000000;5.000000;15.516000;135.644958
2020-06-21 10:19:33 +0000;51.837847;5.903239;11.878086;5.000000;5.000000;12.672000;44.279373
2020-06-21 10:19:39 +0000;51.837899;5.903608;11.582310;5.000000;5.000000;12.816000;103.294121
2020-06-21 10:19:45 +0000;51.837840;5.904006;12.670811;5.000000;5.000000;18.936001;103.294121
2020-06-21 10:19:50 +0000;51.837782;5.904400;10.652256;5.000000;5.000000;20.556000;104.504799
2020-06-21 10:19:55 +0000;51.837716;5.904803;10.220615;5.000000;5.000000;21.096000;105.497734
2020-06-21 10:20:00 +0000;51.837640;5.905221;9.947605;5.000000;5.000000;21.275999;107.429184
2020-06-21 10:20:05 +0000;51.837560;5.905634;9.774143;5.000000;5.000000;20.988000;107.429184
2020-06-21 10:20:09 +0000;51.837490;5.905994;9.842869;5.000000;5.000000;22.824001;107.429184
2020-06-21 10:20:14 +0000;51.837412;5.906415;11.529148;5.000000;5.000000;22.968000;106.695686
2020-06-21 10:20:22 +0000;51.837351;5.907139;10.825352;5.000000;5.000000;24.300000;110.039062
2020-06-21 10:20:26 +0000;51.837272;5.907518;11.398167;5.000000;5.000000;23.724001;107.866760
2020-06-21 10:20:31 +0000;51.837205;5.907961;10.599277;5.000000;5.000000;23.328000;108.225899
2020-06-21 10:20:35 +0000;51.837119;5.908329;10.286472;5.000000;5.000000;25.272000;108.686501
2020-06-21 10:20:39 +0000;51.837019;5.908728;10.390965;5.000000;5.000000;22.716000;109.148476
2020-06-21 10:20:44 +0000;51.836935;5.909101;10.888218;5.000000;5.000000;22.284000;109.148476
2020-06-21 10:20:48 +0000;51.836841;5.909437;10.122227;5.000000;5.000000;20.700000;109.439339
2020-06-21 10:20:59 +0000;51.836735;5.909822;10.578587;5.000000;5.000000;6.732000;108.984375
2020-06-21 10:22:17 +0000;51.836963;5.909787;9.126555;5.000000;5.000000;2.736000;34.804688
2020-06-21 10:23:01 +0000;51.837165;5.909622;8.361296;5.000000;5.000000;2.952000;312.890625
2020-06-21 10:23:16 +0000;51.837331;5.909368;8.770153;5.000000;5.000000;5.976000;352.265625
2020-06-21 10:23:31 +0000;51.837571;5.909428;8.838671;5.000000;5.000000;6.264000;22.148438
2020-06-21 10:23:45 +0000;51.837769;5.909606;8.862107;5.000000;5.000000;5.688000;36.210938
2020-06-21 10:24:03 +0000;51.837953;5.909855;8.885819;5.000000;5.000000;6.696000;47.460938
2020-06-21 10:24:17 +0000;51.838131;5.910090;9.009981;5.000000;5.000000;6.408000;22.500000
2020-06-21 10:24:33 +0000;51.838338;5.910237;9.667891;5.000000;5.000000;5.400000;3.515625
