Number	Latitude decimal	Longitude decimal	Length	Time	Duration	Speed	Knots	Bearing	Elevation	Elevation Delta	Elevation Gain	Elevation Loss	Latitude degrees	Longitude degrees	Name
1	51.817487	5.851248	0	2020-06-21T12:01:47Z	0			E	25.556152	0	0	0	51°49.049'N	5°51.075'E	
84	51.826610	5.891929	25.68442510471949	2020-06-21T12:13:10Z	6	4.280737517453248	8.321088046882776	N	64.910217	1.057129000000003	61.85931599999999	-22.50525099999999	51°49.597'N	5°53.516'E	
85	51.826818	5.892088	25.54230709010517	2020-06-21T12:13:17Z	7	3.648901012872167	7.092896137330299	NE	65.138367	0.2281499999999994	62.08746599999999	-22.50525099999999	51°49.609'N	5°53.525'E	
86	51.827031	5.892303	27.87442574130295	2020-06-21T12:13:23Z	6	4.645737623550491	9.030591492859916	N	66.085754	0.947386999999992	63.03485299999998	-22.50525099999999	51°49.622'N	5°53.538'E	
87	51.827262	5.892507	29.21992107980459	2020-06-21T12:13:27Z	4	7.304980269951146	14.1997456651274	NE	67.244812	1.159058000000002	64.19391099999999	-22.50525099999999	51°49.636'N	5°53.550'E	
88	51.827504	5.892733	31.02403163870196	2020-06-21T12:13:32Z	5	6.204806327740392	12.06117860683502	N	67.559570	0.3147579999999977	64.50866899999998	-22.50525099999999	51°49.650'N	5°53.564'E	
89	51.827723	5.892929	27.78776662106294	2020-06-21T12:13:38Z	6	4.631294436843824	9.002516183926879	N	67.987366	0.4277960000000007	64.93646499999998	-22.50525099999999	51°49.663'N	5°53.576'E	
90	51.827930	5.893101	25.8369750080352	2020-06-21T12:13:43Z	5	5.16739500160704	10.04461231413583	N	66.458984	-1.528381999999993	64.93646499999998	-24.03363299999999	51°49.676'N	5°53.586'E	
91	51.828174	5.893280	29.74618299531764	2020-06-21T12:13:48Z	5	5.949236599063527	11.56439079731211	NE	67.426941	0.9679569999999984	65.90442199999998	-24.03363299999999	51°49.690'N	5°53.597'E	
92	51.828384	5.893475	26.88335721780867	2020-06-21T12:13:54Z	6	4.480559536301445	8.709510977689083	N	67.583679	0.1567380000000043	66.06115999999999	-24.03363299999999	51°49.703'N	5°53.608'E	
93	51.828598	5.893655	26.7793846346827	2020-06-21T12:13:59Z	5	5.355876926936539	10.41099186661206	NE	68.817627	1.233947999999998	67.29510799999998	-24.03363299999999	51°49.716'N	5°53.619'E	
94	51.828790	5.893871	25.96431707613321	2020-06-21T12:14:04Z	5	5.192863415226642	10.09411894968148	N	69.085022	0.2673949999999934	67.56250299999998	-24.03363299999999	51°49.727'N	5°53.632'E	
95	51.828993	5.894039	25.3164175191078	2020-06-21T12:14:10Z	6	4.219402919851301	8.201863127138205	N	69.272949	0.187927000000002	67.75042999999998	-24.03363299999999	51°49.740'N	5°53.642'E	
96	51.829225	5.894044	25.76164982040394	2020-06-21T12:14:15Z	5	5.152329964080787	10.01532822391202	N	70.291443	1.018494000000004	68.76892399999998	-24.03363299999999	51°49.754'N	5°53.643'E	
